Email,Clicked At,Replied At,Data Entered At,Attachment Opened At,Macro Enabled At,QR Code Scanned At,Opened At,Reported,Scheduled,Delivered At,Bounced At,Bounce Code,Bounce Reason,Failure Ignored At,First Name,Last Name,Job Title,Group,Manager Name,Manager Email,Location,Division,Employee Number,IP Address,IP Location,Browser,Browser Version,Operating System,Email Template,Created At,Time Zone,Phone Number,Extension,Mobile Phone Number,Current PPP,Archived At,Risk Score,Locale,Organization,Department,Language,Comment,Employee Start Date
user00081@example.invalid,,,,,,,2026-03-22T11:26:00Z,,2026-03-16T08:41:00Z,2026-03-09T11:25:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00081,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00081@example.invalid,,,,,,,,,2026-03-10T17:32:00Z,2026-03-03T12:23:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00081,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00081@example.invalid,,,,,,,,,2026-03-22T17:32:00Z,2026-03-18T14:26:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00081,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00081@example.invalid,,,,,,,2026-03-14T09:09:00Z,,2026-03-18T07:39:00Z,2026-03-11T10:23:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00081,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00091@example.invalid,2026-03-25T09:58:00Z,,,,,,,,2026-03-23T13:01:00Z,2026-03-23T10:47:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00091,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00091@example.invalid,2026-03-11T17:18:00Z,,,,2026-03-23T12:52:00Z,,,,2026-03-09T07:30:00Z,2026-03-19T08:28:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00091,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00091@example.invalid,,,,,,,2026-03-08T16:46:00Z,,2026-03-16T17:00:00Z,2026-03-05T13:22:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00091,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00091@example.invalid,,,,,,,2026-03-02T12:50:00Z,,2026-03-13T17:14:00Z,2026-03-09T16:47:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00091,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00101@example.invalid,2026-03-08T08:52:00Z,,2026-03-10T18:09:00Z,2026-03-03T09:08:00Z,,,,,2026-03-08T13:19:00Z,2026-03-19T10:45:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00101,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00101@example.invalid,2026-03-20T09:35:00Z,,,,,,2026-03-20T14:08:00Z,,2026-03-19T09:29:00Z,2026-03-22T16:40:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00101,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00101@example.invalid,,,,,,,2026-03-07T10:02:00Z,,2026-03-16T12:05:00Z,2026-03-08T15:25:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00101,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00101@example.invalid,,,,,,,,,2026-03-17T08:41:00Z,2026-03-09T15:30:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00101,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00101@example.invalid,,,,,,,,,2026-03-27T11:33:00Z,2026-03-27T15:06:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00101,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00121@example.invalid,2026-03-19T10:40:00Z,,,,2026-03-04T12:27:00Z,,2026-03-15T12:23:00Z,2026-03-27T14:07:00Z,2026-03-03T08:31:00Z,2026-03-04T17:37:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00121,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00121@example.invalid,,,,,,,2026-03-23T07:20:00Z,,2026-03-19T08:52:00Z,2026-03-22T09:52:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00121,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00121@example.invalid,,,,,,,2026-03-15T08:55:00Z,,2026-03-11T15:51:00Z,2026-03-02T12:56:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00121,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00141@example.invalid,,,,,,,2026-03-23T15:27:00Z,,2026-03-05T12:06:00Z,2026-03-04T07:09:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00141,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00141@example.invalid,,,,,,,,,2026-03-24T10:55:00Z,2026-03-05T09:08:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00141,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00141@example.invalid,,,,,,,2026-03-02T11:41:00Z,,2026-03-26T07:23:00Z,2026-03-15T12:10:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00141,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00151@example.invalid,,,,,,2026-03-15T16:39:00Z,2026-03-25T16:27:00Z,,2026-03-09T09:07:00Z,2026-03-11T12:19:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00151,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00151@example.invalid,,,,,,,2026-03-16T16:57:00Z,,2026-03-20T17:16:00Z,2026-03-22T09:24:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00151,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00151@example.invalid,,,,,,,2026-03-02T17:13:00Z,,2026-03-02T16:10:00Z,2026-03-04T07:36:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00151,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00151@example.invalid,,,,,,,2026-03-08T08:24:00Z,,2026-03-23T15:00:00Z,2026-03-07T14:09:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00151,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00161@example.invalid,,,,2026-03-14T17:43:00Z,,,2026-03-19T08:05:00Z,,2026-03-16T18:10:00Z,2026-03-04T08:47:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00161,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00161@example.invalid,,,,,,,,,2026-03-21T18:55:00Z,2026-03-18T13:40:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00161,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00161@example.invalid,,,,,,,,,2026-03-10T10:48:00Z,2026-03-27T13:40:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00161,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00171@example.invalid,,,,,,,,,2026-03-04T14:03:00Z,2026-03-11T16:35:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00171,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00171@example.invalid,,,,,,,2026-03-13T12:08:00Z,,2026-03-03T16:23:00Z,2026-03-02T08:03:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00171,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00171@example.invalid,,,,,,,2026-03-14T16:51:00Z,,2026-03-08T09:42:00Z,2026-03-25T12:20:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00171,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00171@example.invalid,,,,,,,2026-03-12T13:48:00Z,,2026-03-12T08:24:00Z,2026-03-17T14:55:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00171,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00171@example.invalid,,,,,,,2026-03-22T15:34:00Z,,2026-03-20T18:23:00Z,2026-03-07T18:02:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00171,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00181@example.invalid,,,,,,,2026-03-10T18:09:00Z,,2026-03-23T11:36:00Z,2026-03-27T09:29:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00181,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00181@example.invalid,,,,,,,2026-03-25T15:40:00Z,,2026-03-02T11:57:00Z,2026-03-06T11:59:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00181,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00181@example.invalid,,,,,,,2026-03-22T16:02:00Z,,2026-03-23T10:08:00Z,2026-03-13T08:53:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00181,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00181@example.invalid,,,,,,,,,2026-03-05T15:45:00Z,2026-03-03T14:29:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00181,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00191@example.invalid,,,,2026-03-18T12:01:00Z,,,2026-03-14T09:36:00Z,2026-03-05T13:58:00Z,2026-03-18T10:03:00Z,2026-03-15T09:20:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00191,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00191@example.invalid,,,,,,,,2026-03-25T10:05:00Z,2026-03-04T08:32:00Z,2026-03-20T17:40:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00191,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00191@example.invalid,,,,,,,,,2026-03-06T13:45:00Z,2026-03-07T12:08:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00191,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00191@example.invalid,,,,,,,,,2026-03-21T18:07:00Z,2026-03-20T14:51:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00191,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00201@example.invalid,,,,,,,2026-03-12T12:00:00Z,2026-03-15T15:35:00Z,2026-03-23T18:55:00Z,2026-03-19T10:16:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00201,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00201@example.invalid,,,,,,,2026-03-09T17:02:00Z,,2026-03-23T07:51:00Z,2026-03-20T16:35:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00201,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00201@example.invalid,,,,,,,2026-03-16T15:13:00Z,,2026-03-14T07:13:00Z,2026-03-02T10:04:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00201,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00201@example.invalid,,,,,,,,,2026-03-26T10:49:00Z,,2026-03-03T07:26:00Z,550,mailbox unavailable,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00201,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00211@example.invalid,,,,,,,2026-03-15T08:36:00Z,2026-03-25T17:52:00Z,2026-03-09T13:00:00Z,2026-03-17T18:32:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00211,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00211@example.invalid,,,,,,,,,2026-03-03T07:23:00Z,2026-03-11T14:18:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00211,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00211@example.invalid,,,,,,,,,2026-03-27T11:25:00Z,2026-03-16T08:40:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00211,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00211@example.invalid,,,,,,,2026-03-15T08:30:00Z,,2026-03-04T10:56:00Z,2026-03-09T12:53:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00211,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00221@example.invalid,2026-03-09T10:38:00Z,,,,2026-03-06T13:19:00Z,,2026-03-23T14:55:00Z,2026-03-16T09:09:00Z,2026-03-14T13:49:00Z,2026-03-05T11:45:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00221,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00221@example.invalid,,,,,,,2026-03-05T07:36:00Z,,2026-03-21T11:57:00Z,2026-03-06T14:58:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00221,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00221@example.invalid,,,,,,,2026-03-17T09:11:00Z,,2026-03-04T13:40:00Z,2026-03-22T18:40:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00221,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00221@example.invalid,,,,,,,,,2026-03-02T16:12:00Z,2026-03-04T07:30:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00221,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00231@example.invalid,2026-03-21T18:46:00Z,,,,,,2026-03-04T09:42:00Z,,2026-03-27T07:50:00Z,2026-03-02T18:45:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00231,203.0.113.10,,,,,template-1,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00231@example.invalid,,,,,,,,,2026-03-15T18:34:00Z,2026-03-18T11:23:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00231,203.0.113.10,,,,,template-2,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
user00231@example.invalid,,,,,,,2026-03-20T18:47:00Z,,2026-03-12T11:53:00Z,2026-03-13T07:00:00Z,,,,,Given,Family,Role,Sales & Marketing,Manager,mgr@example.invalid,Site,Sales & Marketing,00231,203.0.113.10,,,,,template-3,,,,,,0.0,,0.0,,Example Org,Sales & Marketing,en,,
